Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,,
108,Rails,Rallidae,Virginia Rail,Rallus limicola,24cm,"Song is a series of ""kik kik kidick kidick"" phrases, also a ""tic tic turrr""; heard chiefly in breeding season; common call, heard year-round, is a descending series of ""oink"" notes.",,
110,Rails,Rallidae,Purple Gallinule,Porphyrio martinicus,33cm,"Call is a sharp ""kek""; also a series of grunting notes.",,
110,Rails,Rallidae,Purple Swamphen,Porphyrio porphyrio,46-51cm,Gives a wide variety of nasal and cackling calls.,,
110,Rails,Rallidae,Common Gallinule,Gallinula galeata,36cm,"A high ""keek""; also a descending series of nasal clucking notes.",,
110,Rails,Rallidae,American Coot,Fulica americana,39cm,"Variety of grunting and clucking calls; also a sharp ""krrp"", slightly lower than Common Gallinule.",,
110,Rails,Rallidae,Eurasian Coot,Fulica atra,40cm,NA,,
112,Cranes,Gruidae,Sandhill Crane,Antigone canadensis,104-122cm (length); 185-213cm (wingspan),"Common call is a trumpeting, ""gar-oo-oo"", audible for more than a mile. Young birds give a wholly different, cricket-like call.",,
112,Cranes,Gruidae,Common Crane,Grus grus,112-130cm (length); 201-231cm (wingspan),NA,,
112,Cranes,Gruidae,Whooping Crane,Grus americana,132cm (length); 221cm (wingspan),"Call is a shrill, trumpeting ""ker-loo ker-lee-loo"".",,
114,Stilts/Avocets,Recurvirostridae,Black-nelted Stilt,Himantopus mexicanus,36cm,"Common call is a loud ""kek kek kek"", also a loud ""keek"" call, vaguely suggestive of call of Long-billed Dowitcher.",,
114,Stilts/Avocets,Recurvirostridae,American Avocet,Recurvirostra americana,46cm,"Common call is a loud ""wheet"", given in an agitated series when disturbed.",,
114,Oystercatchers,Haematopodidae,Black Oystercatcher,Haematopus bachmani,44cm,"Call is a loud, whistled ""queep"" given singly or in a fast series.",,
114,Oystercatchers,Haematopodidae,American Oystercatcher,Haematopus palliatus,47cm,Like Black Oystercatcher.,,
116,Plovers,Charadriidae,Black-bellied Plover,Pluvialis squatarola,29cm,"Call is a drawn-out, three-note whistle, the second note lower pitched.",,
116,Plovers,Charadriidae,American Golden-Plover,Pluvialis dominica,26cm,"Flight call is a plaintive ""ku-wheep"".",,
116,Plovers,Charadriidae,Pacific Golden-Plover,Pluvialis fulva,25cm,"Call is a loud, rich ""chu-wheet"".",,
118,Plovers,Charadriidae,European Golden-Plover,Pluvialis apricaria,28cm,"Call is a mournful, drawn-out whistle.",,
118,Plovers,Charadriidae,Little Ringed Plover,Charadrius dubius,15cm,"Call is a descending whistled ""pew"" that carries a long way.",,
118,Plovers,Charadriidae,Lesser Sand-Plover,Charadrius mongolus,19cm,"Gives a hard and rather grating nonmusical ""tirrick"".",,
118,Plovers,Charadriidae,Killdeer,Charadrius vociferus,27cm,"Distinctive loud, piercing ""kill-dee"" or ""dee-dee-dee"", heard mainly during the breeding season. Often heard at night.",,
