Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,,
344,Empidonax Flycatchers,Tyrannidae,Vermilion Flycatcher,Pyrocephalus rubinus,15cm,"Male in breeding season sings during fluttery display flight with chest out. Song is a soft, tinkling ""pit-a-see pit-a-see""; also sings while perched. Typical call is a sharp, thin ""pseep"".",,
346,Myiarchus Flycatchers,Tyrannidae,Brown-crested Flycatcher,Myiarchus tyrannulus,22cm,"Song, a clear musical whistle, a rolling *whit-will-do*. Call, sharp ""whit"".",,
346,Myiarchus Flycatchers,Tyrannidae,Great Crested Flycatcher,Myiarchus crinitus,22cm,"Distinctive call, a loud whistled ""wheep"", sometimes given in a quick series. Song is a clear, loud ""queeleep queelur qurrleep"".",,
346,Myiarchus Flycatchers,Tyrannidae,Dusky-capped Flycatcher,Myiarchus tuberculifer,17cm,"Most frequent call is a mournful, descending ""peeur"".",,
346,Myiarchus Flycatchers,Tyrannidae,Ash-throated Flycatcher,Myiarchus cinerascens,20cm,"Distinctive call, heard year-round, is a rough ""prrrt"". Song, heard on breeding grounds, is a series of burry ""ka-brick"" notes.",,
348,Myiarchus Flycatchers,Tyrannidae,La Sagra's Flycatcher,Myiarchus sagrae,19cm,"Distinctive call, a rather high-pitched ""wink"", is often doubled.",,
348,Myiarchus Flycatchers,Tyrannidae,Nutting's Flycatcher,Myiarchus nuttingi,18cm,"Call a rather sharp ""weep"", suggestive of Great Crested.",means Great Crested Flycatcher here,
348,Myiarchus Flycatchers,Tyrannidae,Piratic Flycatcher,Legatus leucophaius,15cm,"On breeding grounds, song is a strident ""whee-ee"", often followed by a rolled ""ji-ji-jit""; also gives rising and falling whistles.",,
348,Myiarchus Flycatchers,Tyrannidae,Variegated Flycatcher,Empidonomus varius,18cm,"Call is a high, thin ""pseee"".",,
348,Myiarchus Flycatchers,Tyrannidae,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,22cm,"Loud call is an excited chatter, like the squeaking of a rubber duck. Song is a soft ""tre-le-re-re"".",,
350,Myiarchus Flycatchers,Tyrannidae,Cassin's Kingbird,Tyrannus vociferans,23cm,"Call is a short, loud ""chi-bew"", accented on second syllable.",,
350,Myiarchus Flycatchers,Tyrannidae,Western Kingbird,Tyrannus verticalis,22cm,"Common call is a sharp ""whit"".",,
350,Myiarchus Flycatchers,Tyrannidae,Couch's Kingbird,Tyrannus couchii,23cm,"Distinctive calls, a shrill, rolling ""breeeer""; and a more common ""kip"", similar to call of Western Kingbird, given singly or in a series.",,
350,Myiarchus Flycatchers,Tyrannidae,Tropical Kingbird,Tyrannus melancholicus,23cm,"Distinctive call is a rapid, twittering ""pip-pip-pip-pip"".",,
352,Myiarchus Flycatchers,Tyrannidae,Gray Kingbird,Tyrannus dominicensis,23cm,"Song is a buzzy ""pecheer-ry"", accented on second syllable.",,
352,Myiarchus Flycatchers,Tyrannidae,Eastern Kingbird,Tyrannus tyrannus,22cm,"Call is a harsh ""dzeet"" note, also given in a series.",,
352,Myiarchus Flycatchers,Tyrannidae,Fork-tailed Flycatcher,Tyrannus savana,37cm,"Vagrants to U.S. mostly silent. Gives sharp ""sik"" notes and buzzy chattering calls.",,
352,Myiarchus Flycatchers,Tyrannidae,Scissor-tailed Flycatcher,Tyrannus forficatus,33cm,Calls similar to Western Kingbird.,,
354,Myiarchus Flycatchers,Tyrannidae,Thich-billed Kingbird,Tyrannus crassirostris,24cm,"Common call is a loud, high, whistled ""pureet"".",,
354,Myiarchus Flycatchers,Tyrannidae,Loggerhead Kingbird,Tyrannus caudifasciatus,23cm,"Nominate's calls include a loud buzzy ""tireet"", often repeated. Wings produce a muffled sound in flight.",,
354,Myiarchus Flycatchers,Tyrannidae,Great Kiskadee,Pitangus sulphuratus,25cm,"Song is a deliberate ""kis-ka-dee""; call is a loud ""kreak"".",,
354,Becards/Tityras/Allies,Tityridae,Rose-throated Becard,Pachyramphus aglaiae,18cm,"Call, thin, mournful ""seeoo"", sometimes preceded by chatter.",,
356,Shrikes,Laniidae,Brown Shrike,Lanius cristatus,19cm,NA,,
356,Shrikes,Laniidae,Loggerhead Shrike,Lanius ludovicianus,23cm,"Song is a medley of low warbles and harsh, squeaky notes; calls include a harsh ""shack-shack"".",,
356,Shrikes,Laniidae,Northern Shrike,Lanius excubitor,25cm,Song and calls are similar to Loggerhead.,means Loggerhead Shrike here,
358,Vireos,Vireonidae,Black-capped Vireo,Vireo atricapilla,11cm,"Song a persistent string of varied, choppy, two- or three-note phrases. Call note, ""tsidik"", quite similar to Ruby-crowned Kinglet.",,
358,Vireos,Vireonidae,White-eyed Vireo,Vireo griseus,13cm,"Typical song is a loud, variable five-to seven-note phrase usually beginningand ending with a sharp ""chick""; als gives a chatter call suggestive of House Wren. Song incorporates parts of songs of other species.",,
358,Vireos,Vireonidae,Thick-billed Vireo,Vireo crassirostris,14cm,Song is similar but harsher; call notes slower and harsher.,means White-eyed Vireo here,
358,Vireos,Vireonidae,Hutton's Vireo,Vireo huttoni,13cm,"Song is a repeated or mixed rising ""zu-wee"" and descending ""zoe zoo""; also a flat ""chew"". Calls include a low ""chit"" and whining chatter; birds from interior Southwest give a harsher ""tchurr-ree"".",,
360,Vireos,Vireonidae,Bell's Vireo,Vireo bellii,12cm,Song is a series of scolding notes. Call notes like House Wren.,,
360,Vireos,Vireonidae,Gray Vireo,Vireo vicinior,14cm,"Song is a series of musical ""chu-wee chu-weet"" notes, faster and sweeter than Plumbeous. Calls include a shrill, descending musical notes, often delivered in flight, as is song.",,
360,Vireos,Vireonidae,Plumbeous Vireo,Vireo plumbeus,13cm,"Song is hoarser than Blue-headed, very like Cassin's; call similar.",means Blue-headed Vireo and Cassin's Vireo here,
360,Vireos,Vireonidae,Cassin's Vireo,Vireo cassinii,13cm,"Song is haorser than Blue-headed, like Plumbeous; call similar.",means Blue-headed Vireo and Plumbeous Vireo here,
360,Vireos,Vireonidae,Blue-headed Vireo,Vireo solitarius,13cm,"Song similar to Red-eyed, but slower, sweeter. Call a harsh chatter.",means Red-eyed Vireo here,
362,Vireos,Vireonidae,Yellow-throated Vireo,Vireo flavifrons,14cm,"Song, a slow repetition of buzzy, low-pitched two- or three-note phrases separated by long pauses, often contains a rising *three-eight*. Calls include a rapid, harsh series of ""cheh"" notes.",,
362,Vireos,Vireonidae,Yellow-green Vireo,Vireo flavoviridis,15cm,"Song is a rapid but hesitant series of notes, suggesting House Sparrow.",,
362,Vireos,Vireonidae,Red-eyed Vireo,Vireo aolivaceus,15cm,"Persistent song, sung all day, a variable series of sweet, deliberate short pauses, often doubled. Calls include a nasal, whining ""quee"".",,
362,Vireos,Vireonidae,Black-whiskered Vireo,Vireo altiloquus,16cm,"Song, deliberate one- to four-note phrases, less varied and more emphatic than Red-eyed.",,
364,Vireos,Vireonidae,Philadelphia Vireo,Vireo philadelphicus,13cm,"Song very similar to Red-eyed but generally slower, thinner.",means Red-eyed Vireo here,
364,Vireos,Vireonidae,Warbling Vireo,Vireo gilvus,14cm,"Song of gilvus delibered in long, melodious, warbling phrases ending with sharp, higher note (""squirt""); song of swainsoni less musical and choppier, with higher ones and break near beginning. Calls include a peevish rising ""cheee"" and low ""chut"" notes. Apparently does not interbreed where the two ssp. come together in AB.",,
364,Crows/Jays,Corvidae,Clark's Nutcracker,Nucifraga columbiana,31cm,"Calls include a very nasal, grating, drawn-out ""kra-a-a"".",,
364,Crows/Jays,Crows/Jays,Gray Jay,Perisoreus canadensis,29cm,"Highly variable call notes include whistled ""wheeoo"" and low ""chuck"".",,
366,Crows/Jays,Crows/Jays,Green Jay,Cyanocorax yncas,27cm,"Gregarious and noisy; most common call is a series of raspy ""cheh-cheh-cheh"" notes.",,
366,Crows/Jays,Crows/Jays,Brown Jay,Psilorhinus morio,42cm,A noisy species; its harsh scream is similar to the call of Red-shouldered Hawk. Another call sounds like a hiccup.,,
366,Crows/Jays,Crows/Jays,Pinyon Jay,Gymnorhinus cyanocephalus,27cm,"Typical flight call is a high-pitched, piercing ""mew"", audible over long distances. Also gives a rolling series of ""queh"" notes.",,
366,Crows/Jays,Crows/Jays,Blue Jay,Cyanocitta cristata,28cm,"Most common of varied calls is a piercing ""jay jay jay""; also gives a musical ""weedle-eedle"" and mimics the call of Red-shouldered Hawk.",,
366,Crows/Jays,Crows/Jays,Steller's Jay,Cyanocitta stelleri,29cm,"Calls include a series of ""shack"" or ""shooka"" notes and other calls suggestive of Red-shouldered and Red-tailed Hawks.",,
368,Crows/Jays,Crows/Jays,California Scrub-Jay,Aphelocoma californica,28cm,"Calls include a raspy ""shreep"" often in a short series.",,
368,Crows/Jays,Crows/Jays,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,28cm,"Calls similar to California, but somewhat higher pitched.",means California Scrub-Jay here,
368,Crows/Jays,Crows/Jays,Florida Scrub-Jay,Aphelocoma coerulescens,28cm,"Varied calls include raspy, hoarse notes.",,
368,Crows/Jays,Crows/Jays,Island Scrub-Jay,Aphelocoma insularis,30cm,"Calls similar to California, but slightly lower and deeper.",means California Scrub-Jay here,
368,Crows/Jays,Crows/Jays,Mexican Jay,Aphelocoma wollweberi,29cm,"Calls include a loud, ringing ""week"", given singly or in a series; similar in both ssp. groups.",,
370,Crows/Jays,Crows/Jays,Black-billed Magpie,Pica hudsonia,48cm,"Noisy; many calls, one a whining ""mag"", another a mellow ""wurp"".",,
370,Crows/Jays,Crows/Jays,Yellow-billed Magpie,Pica nuttalli,42cm,Calls are similar to Black-billed.,means Black-billed Magpie here,
370,Crows/Jays,Crows/Jays,Eurasian Jackdaw,Corvus monedula,33cm,"Calls include a metallic ""kow"" and a softer ""jack"" note.",,
370,Crows/Jays,Crows/Jays,Tamaulipas Crow,Corvus imparatus,37cm,"Call is a low, froglike ""croak"".",,
370,Crows/Jays,Crows/Jays,Northwestern Crow,Corvus caurinus,41cm,"Call is somewhat hoarser and lower than American, but beware of juvenile American crow.",,
372,Crows/Jays,Crows/Jays,Fish Crow,Corvus ossifragus,39cm,"Always best distinguished by voice: Call is a high, nasal ""uh uh"", the second note lower; also low, short ""car"" notes.",,
372,Crows/Jays,Crows/Jays,American Crow,Corvus brachyrhynchos,45cm,"Adult is readily identified by familiar ""caw"" call, but juvenile's higher-pitched, nasal ""cah"" begging call resembles the call of the similar Fish Crow.",,
372,Crows/Jays,Crows/Jays,Chihuahuan Raven,Corvus cryptoleucus,50cm,"Frequent call, a drawn-out ""croak"", usually slightly higher pitched than Common Raven.",,
372,Crows/Jays,Crows/Jays,Common Raven,Corvus corax,61cm,"Most common call is a low, drawn-out ""croak"".",,
374,Larks,Alaudidae,Horned Lark,Eremophila alpestris,17-20cm,"Calls include a high ""tsee-ee"" or ""tsee-titi"". Song is a weak twittering, delivered from the ground or in flight.",,
376,Larks,Alaudidae,Eurasian Skylark,Alauda arvensis,18cm,"Song is a continuous outpouring of trills and warblings, delivered in high hovering or circling song flight. Call is a liquid ""chirrup"" with buzzy overtones.",,
376,Swallows,Hirundinidae,Purple Martin,Progne subis,20cm,"Loud , rich gurgling and whistles; also a low ""churr"".",,
376,Swallows,Hirundinidae,Brown-chested Martin,Progne tapera,16cm,NA,,
376,Swallows,Hirundinidae,Bahama Swallow,Tachycineta cyaneoviridis,15cm,NA,,
378,Swallows,Hirundinidae,Tree Swallow,Tachycineta bicolor,15cm,Calls and song include whistles and liquid gurgles or chirps.,,
378,Swallows,Hirundinidae,Violet-green Swallow,Tachycineta thalassina,13cm,Gives rapid and high-pitched twittering notes.,,
378,Swallows,Hirundinidae,Common House-Martin,Delichon urbicum,13cm,"Call, a rough scratchy ""prrit"", somewhat similar to Rough-winged Swallow.",,
378,Swallows,Hirundinidae,Barn Swallow,Hirundo rustica,17cm,"Call is a short, sweet, single or double ""vit"" or ""veet""; song is a series of squeaky notes.",,
380,Swallows,Hirundinidae,Northern Rough-winged Swallow,Stelgidopteryx serripennis,13cm,"Call is a low, buzzy ""zzrtt"".",,
380,Swallows,Hirundinidae,Bank Swallow,Riparia riparia,12cm,"Call is a series of buzzy, short ""dzrrt"" notes, not unlike the sound made by high-tension powerlines.",,
380,Swallows,Hirundinidae,Cliff Swallow,Petrochelidon pyrrhonata,14cm,"Calls include a rough, squeaky ""chri"", a nasal ""trrr"", and a rattle.",,
380,Swallows,Hirundinidae,Cave Swallow,Petrochelidon fulva,14cm,"Call is a rising ""pweih"", much sweeter than Cliff Swallow.",,
382,Chickadees/Titmice,Paridae,Bridled Titmouse,Baeolophus wollweberi,13cm,"Most common callis a rapid, high-pitched variation of ""chick-a-dee-dee"", similar to Juniper Titmouse. Song is a rapid and clipped series of whistled notes.",,
382,Chickadees/Titmice,Paridae,Oak Titmouse,Baeolophus inornatus,13cm,"Song is variable, a repeated series of syllables made up of whistled, alternating, high and low notes. Call is a hoarse ""tschick-a-dee"".",,
382,Chickadees/Titmice,Paridae,Tufted Titmouse,Baeolophus bicolor,16cm,"Typical song is a loud, whistled ""peter peter peter""; less vocal than Black-crested; calls softer and less nasal.",means Black-crested Titmouse here,
382,Chickadees/Titmice,Paridae,Juniper Titmouse,Baeolophus ridgwayi,13cm,"Song is a rolling series of syllables, rapid, with uniform pitch. Call is a hoarse ""tschick-a-dee"" similar to Bridled Titmouse. Overall, chattering call notes are more clipped and delivered much more rapidly than Oak Titmouse.",,
382,Chickadees/Titmice,Paridae,Black-crested Titmouse,Baeolophus atricristatus,15cm,"Calls louder, sharper than Tufted. Song is also like Tufted, but notes are slightly higher and are delivered more rapidly.",means Tufted Titmouse here,
384,Chickadees/Titmice,Paridae,Black-capped Chickadee,Poecile atricapillus,13cm,"Best distinction is voice. Call is a lower, slower ""chick-a-dee-dee-dee"" than Carolina; typical song, a clear, whistled ""fee-bee"" or ""fee-bee-ee"", the first note higher in pitch; vocalizations show considerable geographic variation.",,
384,Chickadees/Titmice,Paridae,Carolina Chickadee,Poecile carolinensis,12cm,"Best distinction for separating species is voice. Call is a higher, faster version of ""chick-a-dee-dee-dee"" than Black-capped; typical song is a four-note whistle, ""fee-bee fee-bay"".",means Black-capped Chickadee here,
384,Chickadees/Titmice,Paridae,Mexican Chickadee,Poecile sclateri,13cm,"Song is a warbled whistle; call note, a husky buzz.",,
384,Chickadees/Titmice,Paridae,Mountain Chickadee,Poecile gambeli,13cm,"Call is a hoarse ""chick-adee-dee-dee""; typical song, a three- or four-note descending whistle, ""fee-bee-bay"" or ""fee-bee fee-bee"".",,
386,Chickadees/Titmice,Paridae,Chestnut-backed Chickadee,Poecile rufescens,12cm,"Call a high, hoarse, rapid ""tseek-a-dee-dee"". No whistled song given.",,
386,Chickadees/Titmice,Paridae,Boreal Chickadee,Poecile hudsonicus,14cm,"Call is a nasal ""tseek-a-day-day"".",,
386,Chickadees/Titmice,Paridae,Gray-headed Chickadee,Poecile cinctus,14cm,"Call is a distinctive series of ""dee-deer"" notes.",,
386,Penduline Tits/Verdins,Remizidae,Verdin,Auriparus flaviceps,11cm,"Song is a plaintive three-note whistle, the second note higher. Calls include rapid chip notes and a single sharp ""seep"".",,
386,Long-tailed tits/Bushtits,Aegithalidae,Bushtit,Psaltriparus minimus,11cm,"Calls from coastal slope birds a rapid, soft twittering, given in loud, excited chatter when raptor appears; interior birds give sharper notes.",,
388,Nuthatches,Sittidae,Red-breasted Nuthatch,Sitta canadensis,11cm,"High-pitched, nasal call sounds like a toy tin horn.",,
388,Nuthatches,Sittidae,White-breasted Nuthatch,Sitta carolinensis,15cm,"Song of eastern carolinensis and Pacific aculeata is a series of whistled ""tuey"" notes on one pitch; lower in carolinensis. Call is a low-pitched ""yank"" in carolinensis, a higher-pitched ""wheer"" in aculeata, and a rising series of even higher ""yida"" notes in lagunae group. Song of latter varied, but often consists of a series of their calls.",,
388,Nuthatches,Sittidae,Pygmy Nuthatch,Sitta pygmaea,11cm,"Typical calls, a high ""peep"" or a rapid ""peep peep""; als a piping ""wee-bee""; grouped in three or more notes in nominate ssp., pygmaea.",,
388,Nuthatches,Sittidae,Brown-headed Nuthatch,Sitta pusilla,11cm,"Call is a repeated double note like the squeak of a rubber duck. Feeding flocks also give twittering, chirping, and talky ""bit bit bit"" calls.",,
390,Creepers,Certhiidae,Brown Creeper,Certhia americana,13cm,"Call is a soft, sibilant ""see""; song, a high-pitched, variable ""see see see titi see"" with differences between eastern and western ssp. Groups; vocalizations of albescens appear distinct but local dialects complicate situation; more study needed.",,
390,Wrens,Troglodytidae,Rock Wren,Salpinctes obsoletus,15cm,"Song variable mixes of buzzes and trills; call buzzy ""tick-ear"" or ""dzeeeee"".",,
390,Wrens,Troglodytidae,Canyon Wren,Catherpes mexicanus,15cm,"Loud, silvery song, a deccelerating, descending series of liquid ""tee"" and ""tew"" notes. Typical call is a sharp, buzzy ""jeet"".",,
390,Wrens,Troglodytidae,Cactus Wren,Campylorhynchus brunneicapillus,22cm,"Song, heard all year, is a low-pitched, harsh, rapid ""cha cha cha cha cha"". Call is a variety of low, croaking notes, sometimes in a series.",,
392,Wrens,Troglodytidae,House Wren,Troglodytes aedon,12cm,"Exuberant song is a cascade of bubbling whistled notes; calls include a soft ""chek"" and a harsh scold; also in western birds a rolled ""trrrrr"".",,
392,Wrens,Troglodytidae,Pacific Wren,Troglodytes pacificus,9-11cm,"Call is a ""chimp"", often doubled, quality like Wilson's Warbler. Song is like Winter Wren, but faster, less melodic.",,
392,Wrens,Troglodytidae,Winter Wren,Troglodytes hiemalis,9cm,"Most frequent call is ""kelp"", often doubled and highly suggestive of Song Sparrow but sharper. Song is a beautiful series of musical trills.",,
392,Wrens,Troglodytidae,Carolina Wren,Thryothorus ludovicianus,14cm,"Vivacious, melodious song, a loud, clear *teakettle tea-kettle teakettle* or *cheery cheery cheery*. Sings all year. Calls are loud and varied and include a ""chirt"" or double ""chirt-eet"".",,
394,Wrens,Troglodytidae,Marsh Wren,Cistothorus palustris,13cm,"Songs are mechanical-sounding mix of bubbling and trilling notes; more liquid in East, harsher, faster, and much more variable in West. Alarm call is a sharp ""tsuk"" often doubled.",,
394,Wrens,Troglodytidae,Sedge Wren,Cistothorus platensis,11cm,"Song begins with a few single notes followed by a weak staccato trill or chatter; call note, a rich ""chip"", often doubled.",,
394,Wrens,Troglodytidae,Sinaloa Wren,Thryophilus sinaloa,13cm,"Song consists of loud rich phrases, often with rapid repetition of notes; wide variety of call notes.",,
394,Wrens,Troglodytidae,Bewick's Wren,Thryomanes bewickii,13cm,"Song variable, a high, thin buzz and warble, similar to Song Sparrow. Calls include a flat, hollow ""jip"".",,
396,Gnatcatchers/Gnatwrens,Poliopilidae,Blue-gray Gnatcatcher,Polioptila caerulea,11cm,"Call is a querulous ""pwee"". Varied song of high, thin notes, chips and buzzy notes; harsher in slightly duller-plumaged western obscura.",,
396,Gnatcatchers/Gnatwrens,Poliopilidae,Black-capped Gnatcatcher,Polioptila nigriceps,11cm,Calls quite suggestive of most frequent call of Bewick's Wren.,,
396,Gnatcatchers/Gnatwrens,Poliopilidae,Black-taied Gnatcatcher,Polioptila melanura,10cm,"Calls include rasping ""cheeh"" and hissing ""ssheh""; song is a rapid series of ""jee"" notes; all vocalizations harsher than Blue-gray.",means Blue-gray Gnatatcher,
396,Gnatcatchers/Gnatwrens,Poliopilidae,California Gnatcatcher,Polioptila californica,11cm,"Call is a rising and falling, kittenlike ""zeeer""; song is a series of ""jzer"" or ""zew"" notes.",,
398,Dippers,Cinclidae,American Dipper,Cinclus mexicanus,19cm,"Song is loud, musical, wrenlike. Call, a sharp, loud ""dzeet"", often given in a series, and in flight.",,
398,Kinglets,Regulidae,Golden-crowned Kinglet,Regulus satrapa,10cm,"Call is a series of high, thin ""tsee"" notes. Song, almost inaudibly high, is a series of ""tsee"" notes accelerating into a trill.",,
398,Kinglets,Regulidae,Ruby-crowned Kinglet,Regulus calendula,11cm,"Call is a scolding ""je-ditt"". Song, high, thin ""tsee"" notes followed by descending ""tew"" notes, ends with warbled three-note phrases.",,
398,Sylviid Warblers,Sylviidae,Wrentit,Chamaea fasciata,17cm,"Usually heard before seen. Male's loud song, sung year-round, begins with a series of accelerating notes and runs into a descending trill: ""pit-pit-pit-r-r-r"". Female's song lacks trill. Both sexes give soft, low ""prr"" note, often in a series.",,
400,Leaf Warblers,Phylloscopidae,Willow Warbler,Phylloscopus trochilus,11cm,"Whistled ""hoo-eet"" call note is very unlike Arctic's buzzy note.",,
400,Leaf Warblers,Phylloscopidae,Common Chiffchaff,Phylloscopus collybita,11cm,"Birds seen in N.A. have been silent; calls are geographically variable, ""tristis"" gives an even ""hip"".",,
400,Leaf Warblers,Phylloscopidae,Arctic Warbler,Phylloscopus borealis,13cm,"Song is a long series of toneless buzzy notes. Call is a buzzy single-syllable ""dzik"".",,
400,Leaf Warblers,Phylloscopidae,Kachatka Leaf Warbler,Phylloscopus examinandus,13cm,"Often silent; call note distinctive: a two-syllable ""tzz-eet"".",,
400,Leaf Warblers,Phylloscopidae,Dusky Warbler,Phylloscopus fuscatus,14cm,"Call, a hard, sharp ""tschick"", suggests Lincoln's Sparrow.",,
402,Leaf Warblers,Phylloscopidae,Wood Warbler,Phylloscopus sibilatrix,13cm,NA,,
402,Leaf Warblers,Phylloscopidae,Pallas's Leaf Warbler,Phylloscopus proregulus,9cm,"Call is a soft, nasal rising ""chuee"".",,
402,Leaf Warblers,Phylloscopidae,Yellow-browed Warbler,Phylloscopus inornatus,11cm,"Call, upslurred ""swee-eet"", suggests male Pacific-slope Flycatcher.",,
402,Grasshopper-Warblers,Locustellidae,Middendorff's Grasshopper-Warbler,Locustella ochotensis,15cm,NA,,
402,Grasshopper-Warblers,Locustellidae,Lanceolated Warbler,Locustella lanceolata,11cm,"Distinctive call, a metallic ""rink-tink-tink"", delivered infrequently; also an excited ""chack"". Song, a thin, reeling sound, like a fishing line.",,
404,Old World Flycatchers and Chats,Muscicapidae,Narcissus Flycatcher,Ficedula narcissina,13cm,NA,,
404,Old World Flycatchers and Chats,Muscicapidae,Taiga Flycatcher,Ficedulla albicilla,13cm,"Gives rattled ""trrt"" call; also a metallic ""tic"" and harsh ""ze-it"".",,
404,Old World Flycatchers and Chats,Muscicapidae,Dark-sided Flycatcher,Muscicapa sibirica,13cm,NA,,
404,Old World Flycatchers and Chats,Muscicapidae,Asian Brown Flycatcher,Muscicapa dauurica,13cm,NA,,
404,Old World Flycatchers and Chats,Muscicapidae,Gray-streak Flycatcher,Muscicapa griseisticta,15cm,NA,,
406,Old World Flycatchers and Chats,Muscicapidae,Siberian Rubythroat,Luscinia calliope,15cm,"Calls include a deep, low ""chuck"" and a loud, whistled ""quee-ah""; song, long and complex, includes warbles and lisping notes.",,
406,Old World Flycatchers and Chats,Muscicapidae,Bluethroat,Luscinia sbecica,14cm,"In courthip, males sing from high perches and in elaborate display flight. Varied, melodious often begins with a crisp, metallic ""ting ting ting""; call, ""tchak"", often given in a series; mimics other species.",,
406,Old World Flycatchers and Chats,Muscicapidae,Red-flanked Bluetail,Tarsiger cyanurus,14cm,"Calls include a ""hueet"" and dry ""keck-keck"".",,
406,Old World Flycatchers and Chats,Muscicapidae,Nothern Wheatear,Oenanthe oenanthe,15cm,"Calls include ""chak"" and whistled ""wheet"". Song, a scratchy warbling mixed with call notes, often given in flight with tail spread.",,
406,Old World Flycatchers and Chats,Muscicapidae,Stonechat,Saxicola torquatus,13cm,NA,,
408,Thrushes,Turdidae,Eastern Bluebird,Sialia sialis,18cm,"Call note is a musical, rising ""chur-lee"", extended in song to ""chur chur-lee chur-lee"".",,
408,Thrushes,Turdidae,Western Bluebird,Sialia mexicana,18cm,"Call note a mellow ""few"", given in a brief series for song.",,
408,Thrushes,Turdidae,Mountain Bluebird,Sialia currucoides,18cm,"Call is a thin ""veew""; song, a low, warbled ""tru-lee"".",,
408,Thrushes,Turdidae,Townsend's Solitaire,Myadestes townsendi,22cm,"Call note is a high-pitched ""eek""; song, heard all year, is a loud, complex, melodious warbling.",,
410,Thrushes,Turdidae,Gray-cheeked Thrush,Catharus minimus,18cm,"Thin, nasal song is somewhat like Veery, but first and last phrases drop, middle one rises; call is a sharp ""pheu"", similar to Veery, but higher pitched and not descending.",,
410,Thrushes,Turdidae,Bicknell's Thrush,Catharus bicknelli,16cm,"Song usually comes in three parts, the first and last rising; call like Gray-cheeked but higher pitched.",,
410,Thrushes,Turdidae,Veery,Catharus fuscescens,18cm,"Song is a descending series of ""veer"" notes; call is a sharp, descending, whistled ""veer"" or ""phew"".",,
410,Thrushes,Turdidae,Swainson's Thrush,Catharus ustulatus,18cm,"Song, an ascending spiral of whistles; call is a liquid ""whit"" in Pacific coast ssp. a sharper ""quirk"" in others; a night a peeping ""qeep"".",,
410,Thrushes,Turdidae,Hermit Thrush,Catharus guttatus,17cm,"Song is a serene series of clear, flutelike notes, the similar phrases repeated at different pitches. Calls include a deeper ""chuck"" (geographically variable), often doubled, and a whiny, upslurred ""wee"".",,
412,Thrushes,Turdidae,Wood Thrush,Hylocichla mustelina,20cm,"Loud, liquid song of three- to five-note phrases, each phrases usually ending with a complex trill. Calls include a rapid ""pit pit pit"".",,
412,Thrushes,Turdidae,Eyebrowed Thrush,Turdus obscurus,22cm,"Flight call is a high, piercing, drawn-out ""dzee"".",,
412,Thrushes,Turdidae,Dusky Thrush,Turdus naumanni,24cm,"Call is a series of ""shack"" notes; also a shrill, wheezy ""shree"".",,
412,Thrushes,Turdidae,Fieldfare,Turdus pilaris,25cm,"Song is a noisy twittering; call note is a series of ""shack"" notes, like Dusky Thrush; also gives a thin ""seeh"".",,
412,Thrushes,Turdidae,Redwing,Turdus iliacus,21cm,"Call is a thin, penetrating ""seeeh"", usually heard in flight; also a hard ""kuk"" note.",,
414,Thrushes,Turdidae,American Robin,Turdus migratorius,25cm,"Loud, liquid song, is a variable *cheerily cheer-up cheerio*. Calls include a rapid ""tut tut tut""; a high, thin ""ssip"" in flight.",,
414,Thrushes,Turdidae,Rufous-backed Robin,Turdus rufopalliatus,23cm,"Calls include a plaintive, drawn-out, whistled ""teeeuu"", a clucking series of ""chuk"" notes, and in flight, a high, thin ""ssi"".",,
414,Thrushes,Turdidae,Clay-colored Thrush,Turdus grayi,24cm,"Calls include a slurred ""reeeur-ee"", a clucking note, and, in flight, a high, thin ""ssi""; song resembles American Robin but is slower, clearer.",,
414,Thrushes,Turdidae,White-throated Thrush,Turdus assimilis,24cm,"Call is a nasal ""rreeuh"", often doubled.",,
414,Thrushes,Turdidae,Aztec Thrush,Ridgwayia pinicola,23cm,"Calls are quavering ""wheeerr"", a metallic ""wheer"", and a clear ""sweee-uh"".",,
416,Thrushes,Turdidae,Varied Thrush,Ixoreus naevius,24cm,"Call is a soft, low ""tschook""; song is a slow series of variously pitched, drawn-out buzzy notes.",,
416,Mockingbirds/Thrashers,Mimidae,Gray Catbird,Dumetella carolinensis,22cm,"Song is a mixture of melodious, nasal, and squeaky notes interspersed with catlike ""mew"" notes; some are good mimics. Most readily identified by harsh, downslurred ""mew"" call; also gives a low ""quirt"" and a clucking noise.",,
416,Mockingbirds/Thrashers,Mimidae,Blue Mockingbird,Melanotis caerulescens,25cm,Song and call notes vary widely.,,
416,Mockingbirds/Thrashers,Mimidae,Northern Mockingbird,Mimus polyglottos,25cm,"Song is a mixture of original and imitative (other species) phrases, each repeated several times. Often sings at night. Both sexes sing in fall, claiming feeding territories. Call is a loud, sharp ""check"".",,
416,Mockingbirds/Thrashers,Mimidae,Bahama Mockingbird,Mimus gundlachii,28cm,"Song is varied but not known to include imitations; call slightly harsher, more downslurred than Northern.",,
418,Mockingbirds/Thrashers,Mimidae,Brown Thrasher,Toxostoma rufum,29cm,"Sings a series of varied melodious phrases, each phrase usually given only two or three times. Seldom imitates other birds. Calls include a sharp ""spuck"" and a low ""churr"".",,
